strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M15,21,80,30,cross,1.5,3.0,50,0.2,37.29,134,19.4,0.6882,35.93,-30.65,4,0.0,0.0126,3.12,-3.08,-0.6756,-32.81,27.57,97.01,35.16,796,24.37,0.9211,55.92,-45.65,44,38.64,1.7116,5.64,21.97,0.7905,-50.28,67.62,94.47
rsi_low_vol,M5,21,80,20,touch,1.5,3.0,200,0.3,40.13,31,38.71,1.7157,5.27,14.94,5,80.0,10.6161,1.09,10.82,8.9004,-4.18,-4.12,83.87,38.31,293,23.89,0.8632,45.71,-30.76,20,40.0,1.6487,5.63,8.96,0.7855,-40.08,39.72,93.17
rsi_low_vol,M15,21,80,30,cross,1.5,4.0,50,0.2,37.29,134,13.43,0.6316,41.93,-36.59,4,0.0,0.0126,3.12,-3.08,-0.619,-38.81,33.51,97.01,35.16,796,19.35,0.9324,50.02,-45.25,44,31.82,1.7041,8.41,23.99,0.7717,-41.61,69.24,94.47
rsi_low_vol,M5,21,80,20,touch,1.5,4.0,50,0.3,42.97,31,22.58,1.0596,9.26,0.88,0,0.0,0.0,0.0,0.0,-1.0596,-9.26,-0.88,100.0,42.75,293,20.48,0.9933,35.89,-7.31,3,33.33,1.7028,2.29,1.54,0.7095,-33.6,8.85,98.98
rsi_low_vol,M1,21,80,20,cross,1.5,3.0,50,0.3,40.91,268,22.39,0.7855,52.4,-42.21,3,0.0,0.0,3.6,-3.6,-0.7855,-48.8,38.61,98.88,42.16,1421,25.19,0.8343,90.45,-89.76,34,47.06,1.5438,4.68,14.32,0.7095,-85.77,104.08,97.61
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,50,0.2,33.05,268,16.04,0.846,50.69,-34.82,1,0.0,0.0,1.45,-1.45,-0.846,-49.24,33.37,99.63,34.33,1421,17.73,0.8632,88.24,-87.04,20,40.0,1.562,7.35,9.73,0.6988,-80.89,96.77,98.59
rsi_low_vol,M15,21,80,30,touch,1.5,3.0,50,0.2,37.29,134,19.4,0.7094,30.93,-28.79,4,0.0,0.0,4.18,-4.18,-0.7094,-26.75,24.61,97.01,35.16,796,24.62,0.9368,53.64,-39.96,40,37.5,1.6221,8.75,17.47,0.6853,-44.89,57.43,94.97
rsi_low_vol,M5,21,80,20,cross,1.5,4.0,200,0.3,40.13,31,19.35,0.8731,9.01,-3.91,3,66.67,7.1444,1.08,6.73,6.2713,-7.93,10.64,90.32,38.31,293,20.48,1.0296,44.3,1.2,18,33.33,1.6811,6.64,9.25,0.6515,-37.66,8.05,93.86
rsi_low_vol,M5,21,80,20,touch,1.5,2.0,200,0.3,40.13,31,54.84,2.1663,5.27,18.7,5,80.0,6.9324,1.09,6.57,4.7661,-4.18,-12.13,83.87,38.31,293,28.33,0.716,54.7,-48.45,20,45.0,1.3158,5.63,3.83,0.5998,-49.07,52.28,93.17
rsi_low_vol,M15,21,80,30,cross,1.5,2.0,50,0.2,37.29,134,30.6,0.8347,26.23,-15.78,4,0.0,0.0126,3.12,-3.08,-0.8221,-23.11,12.7,97.01,35.16,796,32.41,0.8957,60.25,-48.59,44,45.45,1.4918,6.56,13.0,0.5961,-53.69,61.59,94.47
rsi_low_vol,M5,21,80,20,touch,1.5,3.0,200,0.2,29.49,31,38.71,1.7157,5.27,14.94,2,50.0,2.635,1.09,1.74,0.9193,-4.18,-13.2,93.55,27.25,293,23.89,0.8632,45.71,-30.76,8,37.5,1.4299,3.63,2.43,0.5667,-42.08,33.19,97.27
rsi_low_vol,M15,21,80,30,touch,1.5,4.0,50,0.2,37.29,134,14.18,0.6514,35.57,-35.16,4,0.0,0.0,4.18,-4.18,-0.6514,-31.39,30.98,97.01,35.16,796,20.23,0.9973,39.99,-16.2,40,30.0,1.5573,8.34,17.13,0.56,-31.65,33.33,94.97
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,100,0.3,40.4,268,16.04,0.846,50.69,-34.82,5,20.0,0.618,5.92,-2.4,-0.228,-44.77,32.42,98.13,41.84,1421,17.73,0.8632,88.24,-87.04,51,37.25,1.4098,12.34,19.37,0.5466,-75.9,106.41,96.41
rsi_low_vol,M15,14,80,20,cross,1.5,3.0,100,0.3,30.26,68,22.06,0.8046,21.41,-11.05,1,0.0,0.0,1.07,-1.07,-0.8046,-20.34,9.98,98.53,30.47,501,24.55,0.9295,37.78,-29.53,17,35.29,1.4688,4.19,5.39,0.5393,-33.59,34.92,96.61
rsi_low_vol,M15,14,80,20,touch,1.5,3.0,100,0.2,22.18,68,26.47,1.0212,12.52,0.06,0,0.0,0.0,0.0,0.0,-1.0212,-12.52,-0.06,100.0,22.66,501,26.95,1.0563,40.86,14.58,8,37.5,1.5578,2.35,3.02,0.5015,-38.51,-11.56,98.4
rsi_low_vol,M15,14,80,20,cross,1.5,4.0,200,0.2,21.04,68,14.71,0.6559,25.33,-19.64,0,0.0,0.0,0.0,0.0,-0.6559,-25.33,19.64,100.0,21.32,501,18.36,0.901,47.21,-39.82,7,28.57,1.4019,3.23,2.07,0.5009,-43.98,41.89,98.6
rsi_low_vol,M5,14,80,20,cross,1.5,2.0,50,0.2,36.77,221,30.77,0.7819,43.55,-31.82,4,25.0,0.5472,3.3,-1.53,-0.2347,-40.25,30.29,98.19,36.46,1230,33.5,0.8822,71.76,-69.03,50,46.0,1.3606,5.4,11.19,0.4784,-66.36,80.22,95.93
rsi_low_vol,M5,21,80,20,cross,1.5,2.0,200,0.3,40.13,31,38.71,1.1279,7.53,2.3,3,66.67,3.4548,1.08,2.66,2.3269,-6.45,0.36,90.32,38.31,293,32.42,0.8738,45.5,-25.45,18,44.44,1.2929,7.24,3.2,0.4191,-38.26,28.65,93.86
rsi_low_vol,M5,21,80,20,touch,1.5,3.0,50,0.3,42.97,31,38.71,1.7157,5.27,14.94,0,0.0,0.0,0.0,0.0,-1.7157,-5.27,-14.94,100.0,42.75,293,23.89,0.8632,45.71,-30.76,3,33.33,1.2692,2.29,0.57,0.406,-43.42,31.33,98.98
rsi_low_vol,M5,14,80,20,cross,1.5,2.0,50,0.3,42.97,221,30.77,0.7819,43.55,-31.82,9,11.11,0.2039,8.61,-6.94,-0.578,-34.94,24.88,95.93,42.75,1230,33.5,0.8822,71.76,-69.03,77,44.16,1.2788,8.38,13.7,0.3966,-63.38,82.73,93.74
rsi_low_vol,M1,21,80,20,touch,1.5,4.0,50,0.3,40.91,268,14.18,0.63,64.84,-64.84,3,0.0,0.0,3.62,-3.62,-0.63,-61.22,61.22,98.88,42.16,1421,20.06,0.875,87.15,-85.82,35,37.14,1.2592,11.68,8.76,0.3842,-75.47,94.58,97.54
