strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M1,14,80,20,cross,1.5,3.0,200,0.2,32.51,1397,25.13,1.0415,58.32,23.89,139,28.06,1.1818,15.76,17.09,0.1403,-42.56,-6.8,90.05,33.72,6604,25.94,1.0839,54.08,1879.81,912,29.61,1.2736,28.74,389.82,0.1897,-25.34,-1489.99,86.19
rsi_low_vol,M5,14,80,20,touch,1.5,4.0,200,0.3,40.13,220,15.45,0.7312,54.99,-41.48,50,16.0,0.7619,17.79,-10.27,0.0307,-37.2,31.21,77.27,38.31,1230,19.51,0.9776,51.05,-36.65,248,22.58,1.1667,19.92,30.56,0.1891,-31.13,67.21,79.84
rsi_low_vol,M5,14,80,20,cross,1.5,3.0,200,0.2,29.49,221,19.91,0.7458,50.43,-38.02,21,28.57,1.2,5.91,2.7,0.4542,-44.52,40.72,90.5,27.25,1230,24.8,0.9956,45.49,-19.81,106,28.3,1.1842,13.18,13.08,0.1886,-32.31,32.89,91.38
rsi_low_vol,M1,21,70,20,touch,1.5,4.0,50,0.2,33.05,2234,20.46,1.0894,57.05,188.46,152,17.76,0.8852,41.64,-15.4,-0.2042,-15.41,-203.86,93.2,34.33,10544,20.96,1.1152,56.39,110528.6,1180,24.07,1.3013,31.91,964.13,0.1861,-24.48,-109564.47,88.81
rsi_low_vol,M1,21,70,20,cross,1.5,4.0,50,0.3,40.91,2234,18.31,0.9601,93.92,-66.19,194,20.1,1.047,37.88,3.26,0.0869,-56.04,69.45,91.32,42.16,10544,19.64,1.036,73.18,137.17,1538,22.69,1.2213,45.79,802.95,0.1853,-27.39,665.78,85.41
rsi_low_vol,M1,14,80,20,cross,1.5,2.0,50,0.3,40.91,1397,35.15,1.0875,30.77,91.1,76,43.42,1.5349,6.82,24.77,0.4474,-23.95,-66.33,94.56,42.16,6604,35.54,1.1115,46.61,5549.76,603,39.3,1.2951,21.5,175.88,0.1836,-25.11,-5373.88,90.87
rsi_low_vol,M1,21,70,20,cross,1.5,3.0,200,0.2,32.51,2234,25.11,1.0408,72.79,39.25,231,32.47,1.461,25.46,95.26,0.4202,-47.33,56.01,89.66,33.72,10544,26.22,1.0943,58.24,25586.29,1667,29.81,1.2776,35.51,1833.63,0.1833,-22.73,-23752.66,84.19
rsi_low_vol,M1,21,70,20,cross,1.5,4.0,100,0.3,40.4,2234,18.31,0.9601,93.92,-66.19,275,21.45,1.1346,39.84,25.05,0.1745,-54.08,91.24,87.69,41.84,10544,19.64,1.036,73.18,137.17,1892,22.62,1.2159,39.77,1295.16,0.1799,-33.41,1157.99,82.06
rsi_low_vol,M1,21,70,20,cross,1.5,3.0,100,0.3,40.4,2234,25.11,1.0408,72.79,39.25,275,29.45,1.2656,27.5,59.14,0.2248,-45.29,19.89,87.69,41.84,10544,26.22,1.0943,58.24,25586.29,1892,29.55,1.2733,36.35,2576.45,0.179,-21.89,-23009.84,82.06
rsi_low_vol,M1,21,80,30,cross,1.5,4.0,100,0.2,32.52,2062,18.19,0.9542,83.74,-66.42,141,18.44,0.9123,25.58,-11.84,-0.0419,-58.16,54.58,93.16,34.08,10492,19.14,1.0104,93.85,-67.86,1164,22.16,1.1889,48.02,303.6,0.1785,-45.83,371.46,88.91
