tf,strategy,fft_n,delta,slope_thresh,session_label,regime_filter,target_regime,regime_pct,regime_trend_pct,regime_cycle_pct,regime_noise_pct,regime_trans_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_oos_pf,base_oos_dd,base_oos_trades,pf_gain
M15,derivative,64,0.05,-1.5,newyork,none,cycle,45.2,0.2,45.2,38.3,16.4,1718,23.22,0.9082,84.09,-76.6,872,846,7977,23.02,0.8984,99.96,-99.94,4019,3958,-0.0098,0.8984,99.96,7977,0.0
M15,derivative,64,0.08,-1.0,newyork,none,cycle,38.4,1.9,38.4,33.5,26.2,1718,23.22,0.9082,84.09,-76.6,872,846,7977,23.02,0.8984,99.96,-99.94,4019,3958,-0.0098,0.8984,99.96,7977,0.0
M15,derivative,64,0.08,-1.5,newyork,none,cycle,40.0,0.2,40.0,33.5,26.2,1718,23.22,0.9082,84.09,-76.6,872,846,7977,23.02,0.8984,99.96,-99.94,4019,3958,-0.0098,0.8984,99.96,7977,0.0
M5,derivative,128,0.03,-1.0,newyork,cycle,cycle,62.3,0.4,62.3,25.8,11.5,3054,22.0,0.8478,98.67,-98.23,1532,1522,15671,23.03,0.898,100.0,-100.0,7859,7812,0.0502,0.9052,100.0,24287,-0.0072
M15,rsi,64,0.08,-1.0,all,noise,noise,33.5,1.9,38.4,33.5,26.2,235,35.32,1.0993,26.71,13.43,97,138,1049,30.98,0.8978,66.31,-56.85,505,544,-0.2015,0.9937,67.17,3347,-0.0959
M15,rsi,64,0.08,-1.5,all,noise,noise,33.5,0.2,40.0,33.5,26.2,235,35.32,1.0993,26.71,13.43,97,138,1049,30.98,0.8978,66.31,-56.85,505,544,-0.2015,0.9937,67.17,3347,-0.0959
M5,derivative,128,0.03,-1.5,newyork,cycle,cycle,62.6,0.0,62.6,25.8,11.5,3069,21.96,0.8457,98.76,-98.36,1541,1528,15788,23.02,0.8977,100.0,-100.0,7918,7870,0.052,0.9052,100.0,24287,-0.0075
M15,derivative,128,0.03,-1.0,newyork,none,cycle,60.4,0.8,60.4,26.2,12.6,1712,23.25,0.9094,84.09,-76.11,869,843,7972,22.99,0.8972,99.96,-99.94,4016,3956,-0.0122,0.8972,99.96,7972,0.0
M15,derivative,128,0.03,-1.5,newyork,none,cycle,61.2,0.0,61.2,26.2,12.6,1712,23.25,0.9094,84.09,-76.11,869,843,7972,22.99,0.8972,99.96,-99.94,4016,3956,-0.0122,0.8972,99.96,7972,0.0
M15,derivative,128,0.05,-1.0,newyork,none,cycle,55.0,0.8,55.0,22.3,21.9,1712,23.25,0.9094,84.09,-76.11,869,843,7972,22.99,0.8972,99.96,-99.94,4016,3956,-0.0122,0.8972,99.96,7972,0.0
M15,derivative,128,0.05,-1.5,newyork,none,cycle,55.7,0.0,55.7,22.3,21.9,1712,23.25,0.9094,84.09,-76.11,869,843,7972,22.99,0.8972,99.96,-99.94,4016,3956,-0.0122,0.8972,99.96,7972,0.0
M15,derivative,128,0.08,-1.0,newyork,none,cycle,48.4,0.8,48.4,17.6,33.3,1712,23.25,0.9094,84.09,-76.11,869,843,7972,22.99,0.8972,99.96,-99.94,4016,3956,-0.0122,0.8972,99.96,7972,0.0
M15,derivative,128,0.08,-1.5,newyork,none,cycle,49.2,0.0,49.2,17.6,33.3,1712,23.25,0.9094,84.09,-76.11,869,843,7972,22.99,0.8972,99.96,-99.94,4016,3956,-0.0122,0.8972,99.96,7972,0.0
M15,derivative,64,0.03,-1.5,newyork,cycle,cycle,48.5,0.2,48.5,41.5,9.8,837,23.06,0.8991,60.34,-53.59,424,413,4153,22.97,0.8961,98.59,-97.98,2097,2056,-0.003,0.8984,99.96,7977,-0.0023
M5,derivative,64,0.08,-1.5,newyork,cycle,cycle,43.1,0.1,43.1,31.2,25.6,1969,21.84,0.8393,94.06,-93.52,988,981,9861,22.96,0.8944,100.0,-99.99,4952,4909,0.0551,0.9052,100.0,24287,-0.0108
M15,derivative,64,0.05,-1.5,newyork,cycle,cycle,45.2,0.2,45.2,38.3,16.4,783,23.37,0.915,53.67,-46.26,396,387,3909,22.92,0.893,98.39,-97.69,1978,1931,-0.022,0.8984,99.96,7977,-0.0054
M5,derivative,64,0.03,-1.5,newyork,cycle,cycle,51.5,0.1,51.5,39.0,9.4,2414,22.04,0.8489,95.91,-95.8,1206,1208,11817,22.92,0.8929,100.0,-100.0,5928,5889,0.044,0.9052,100.0,24287,-0.0123
M5,derivative,64,0.05,-1.5,newyork,cycle,cycle,48.2,0.1,48.2,35.9,15.8,2237,21.95,0.8446,95.45,-95.09,1124,1113,11038,22.87,0.8898,100.0,-100.0,5554,5484,0.0452,0.9052,100.0,24287,-0.0154
M5,derivative,64,0.08,-1.0,newyork,cycle,cycle,41.6,1.6,41.6,31.2,25.6,1903,21.97,0.8456,92.25,-92.18,954,949,9410,22.85,0.8888,100.0,-99.99,4723,4687,0.0432,0.9052,100.0,24287,-0.0164
M5,derivative,64,0.03,-1.0,newyork,cycle,cycle,50.0,1.6,50.0,39.0,9.4,2347,22.11,0.8527,95.08,-95.08,1172,1175,11363,22.84,0.8885,100.0,-100.0,5697,5666,0.0358,0.9052,100.0,24287,-0.0167
M15,rsi,64,0.08,-1.0,asian,noise,noise,33.5,1.9,38.4,33.5,26.2,99,33.33,1.0,18.55,-0.98,41,58,452,30.75,0.8882,42.88,-32.51,227,225,-0.1118,0.9582,52.5,1417,-0.07
M15,rsi,64,0.08,-1.5,asian,noise,noise,33.5,0.2,40.0,33.5,26.2,99,33.33,1.0,18.55,-0.98,41,58,452,30.75,0.8882,42.88,-32.51,227,225,-0.1118,0.9582,52.5,1417,-0.07
M5,derivative,64,0.05,-1.0,newyork,cycle,cycle,46.7,1.6,46.7,35.9,15.8,2170,22.03,0.8485,94.25,-94.25,1090,1080,10585,22.77,0.8848,100.0,-100.0,5324,5261,0.0363,0.9052,100.0,24287,-0.0204
M15,derivative,64,0.08,-1.0,newyork,cycle,cycle,38.4,1.9,38.4,33.5,26.2,654,23.39,0.9162,51.87,-40.11,334,320,3384,22.67,0.8799,98.07,-97.29,1708,1676,-0.0363,0.8984,99.96,7977,-0.0185
M15,rsi,128,0.03,-1.0,newyork,noise,noise,26.2,0.8,60.4,26.2,12.6,33,27.27,0.7826,12.27,-5.16,16,17,154,30.52,0.8785,29.28,-13.47,71,83,0.0959,0.9571,44.48,621,-0.0786
M15,rsi,128,0.03,-1.5,newyork,noise,noise,26.2,0.0,61.2,26.2,12.6,33,27.27,0.7826,12.27,-5.16,16,17,154,30.52,0.8785,29.28,-13.47,71,83,0.0959,0.9571,44.48,621,-0.0786
M15,derivative,64,0.08,-1.5,newyork,cycle,cycle,40.0,0.2,40.0,33.5,26.2,689,23.8,0.9371,48.24,-34.87,351,338,3565,22.55,0.8742,98.57,-98.1,1798,1767,-0.0629,0.8984,99.96,7977,-0.0242
M15,rsi,64,0.03,-1.0,newyork,noise,noise,41.5,1.9,46.9,41.5,9.7,65,35.38,1.122,10.68,4.44,23,42,227,29.07,0.8199,33.57,-26.74,114,113,-0.3021,0.9571,44.48,621,-0.1372
M15,rsi,64,0.03,-1.5,newyork,noise,noise,41.5,0.2,48.5,41.5,9.8,65,35.38,1.122,10.68,4.44,23,42,227,29.07,0.8199,33.57,-26.74,114,113,-0.3021,0.9571,44.48,621,-0.1372
M15,rsi,64,0.05,-1.0,newyork,noise,noise,38.3,1.9,43.5,38.3,16.3,61,34.43,1.0769,12.4,2.42,20,41,207,28.5,0.7973,34.09,-27.32,102,105,-0.2796,0.9571,44.48,621,-0.1598
M15,rsi,64,0.05,-1.5,newyork,noise,noise,38.3,0.2,45.2,38.3,16.4,61,34.43,1.0769,12.4,2.42,20,41,207,28.5,0.7973,34.09,-27.32,102,105,-0.2796,0.9571,44.48,621,-0.1598
M15,rsi,64,0.08,-1.0,newyork,noise,noise,33.5,1.9,38.4,33.5,26.2,54,31.48,0.9444,10.73,-2.49,16,38,178,28.09,0.7812,29.68,-25.64,84,94,-0.1632,0.9571,44.48,621,-0.1759
M15,rsi,64,0.08,-1.5,newyork,noise,noise,33.5,0.2,40.0,33.5,26.2,54,31.48,0.9444,10.73,-2.49,16,38,178,28.09,0.7812,29.68,-25.64,84,94,-0.1632,0.9571,44.48,621,-0.1759
M15,rsi,128,0.08,-1.0,newyork,noise,noise,17.6,0.8,48.4,17.6,33.3,19,26.32,0.7143,10.47,-4.08,9,10,103,26.21,0.7105,24.82,-20.48,45,58,-0.0038,0.9571,44.48,621,-0.2466
M15,rsi,128,0.08,-1.5,newyork,noise,noise,17.6,0.0,49.2,17.6,33.3,19,26.32,0.7143,10.47,-4.08,9,10,103,26.21,0.7105,24.82,-20.48,45,58,-0.0038,0.9571,44.48,621,-0.2466
