tf,strategy,fft_n,delta,slope_thresh,session_label,regime_filter,target_regime,regime_pct,regime_trend_pct,regime_cycle_pct,regime_noise_pct,regime_trans_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_oos_pf,base_oos_dd,base_oos_trades,pf_gain
M1,derivative,64,0.05,-1.0,asian,none,cycle,47.7,2.3,47.7,34.3,15.7,23442,26.3,0.6962,100.0,-100.0,11709,11733,117317,25.62,0.6547,100.0,-100.0,58634,58683,-0.0415,0.6547,100.0,117317,0.0
M1,derivative,64,0.05,-1.5,asian,none,cycle,49.8,0.2,49.8,34.3,15.7,23442,26.3,0.6962,100.0,-100.0,11709,11733,117317,25.62,0.6547,100.0,-100.0,58634,58683,-0.0415,0.6547,100.0,117317,0.0
M1,derivative,64,0.08,-1.0,asian,none,cycle,42.9,2.3,42.9,29.9,24.9,23442,26.3,0.6962,100.0,-100.0,11709,11733,117317,25.62,0.6547,100.0,-100.0,58634,58683,-0.0415,0.6547,100.0,117317,0.0
M1,derivative,64,0.08,-1.5,asian,none,cycle,45.0,0.2,45.0,29.9,25.0,23442,26.3,0.6962,100.0,-100.0,11709,11733,117317,25.62,0.6547,100.0,-100.0,58634,58683,-0.0415,0.6547,100.0,117317,0.0
M1,rsi,64,0.03,-1.0,asian,none,noise,37.3,2.3,51.0,37.3,9.4,3791,33.61,0.6091,100.0,-100.0,1839,1952,18091,35.16,0.6374,100.0,-100.0,9029,9062,0.0283,0.6374,100.0,18091,0.0
M1,rsi,64,0.03,-1.5,asian,none,noise,37.3,0.2,53.1,37.3,9.4,3791,33.61,0.6091,100.0,-100.0,1839,1952,18091,35.16,0.6374,100.0,-100.0,9029,9062,0.0283,0.6374,100.0,18091,0.0
M1,rsi,64,0.05,-1.0,asian,none,noise,34.3,2.3,47.7,34.3,15.7,3791,33.61,0.6091,100.0,-100.0,1839,1952,18091,35.16,0.6374,100.0,-100.0,9029,9062,0.0283,0.6374,100.0,18091,0.0
M1,rsi,64,0.05,-1.5,asian,none,noise,34.3,0.2,49.8,34.3,15.7,3791,33.61,0.6091,100.0,-100.0,1839,1952,18091,35.16,0.6374,100.0,-100.0,9029,9062,0.0283,0.6374,100.0,18091,0.0
M1,rsi,64,0.08,-1.0,asian,none,noise,29.9,2.3,42.9,29.9,24.9,3791,33.61,0.6091,100.0,-100.0,1839,1952,18091,35.16,0.6374,100.0,-100.0,9029,9062,0.0283,0.6374,100.0,18091,0.0
M1,rsi,64,0.08,-1.5,asian,none,noise,29.9,0.2,45.0,29.9,25.0,3791,33.61,0.6091,100.0,-100.0,1839,1952,18091,35.16,0.6374,100.0,-100.0,9029,9062,0.0283,0.6374,100.0,18091,0.0
