tf,strategy,fft_n,ratio_thresh,pers_thresh,pers_window,session_label,filter_type,clock_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain
M1,derivative,64,0.06,0.5,20,asian,fft_clock,3.4944597407830233,23051,26.08,1.0633,97.61,138436.97,11518,11533,113345,25.59,1.0374,98.59,172041659.18,56619,56726,-0.0259,1.0368,98.32,118116,0.0006
M1,derivative,64,0.06,0.5,10,asian,fft_clock,4.090793096501242,22933,26.09,1.0638,97.75,143698.33,11463,11470,112732,25.59,1.0373,97.69,151351571.54,56306,56426,-0.0265,1.0368,98.32,118116,0.0005
M1,derivative,0,0.0,0.0,0,newyork,time_clock,1.6700020146397154,22802,24.47,0.9932,99.94,-98.84,11389,11413,110123,24.04,0.9721,100.0,-100.0,54948,55175,-0.0211,0.9716,100.0,113073,0.0005
M1,derivative,0,0.0,0.0,0,all,time_clock,1.6700020146397154,69598,25.08,1.0219,99.99,161.23,34861,34737,339042,24.92,1.0122,100.0,-100.0,169540,169502,-0.0097,1.0119,100.0,347245,0.0003
M1,derivative,0,0.0,0.0,0,asian,time_clock,1.6700020146397154,23354,26.06,1.0623,97.56,127347.55,11717,11637,115367,25.59,1.037,98.22,157175205.64,57714,57653,-0.0253,1.0368,98.32,118116,0.0002
M1,rsi,0,0.0,0.0,0,newyork,baseline,0.0,3285,35.92,1.1303,46.57,982.65,1538,1747,15870,35.85,1.1287,54.52,8491885.77,7784,8086,-0.0016,1.1287,54.52,15870,0.0
M1,rsi,0,0.0,0.0,0,all,baseline,0.0,10034,35.09,1.0876,66.29,10349.36,4896,5138,49092,35.27,1.0956,60.12,8983390186176.89,24464,24628,0.008,1.0956,60.12,49092,0.0
M1,rsi,0,0.0,0.0,0,asian,baseline,0.0,3576,35.12,1.0851,47.68,398.07,1803,1773,17436,35.11,1.0833,72.55,206369.57,8709,8727,-0.0018,1.0833,72.55,17436,0.0
M1,rsi,0,0.0,0.0,0,london,baseline,0.0,3463,35.92,1.1299,43.7,1122.68,1729,1734,17917,34.77,1.0741,71.93,87618.67,9014,8903,-0.0558,1.0741,71.93,17917,0.0
M1,derivative,0,0.0,0.0,0,asian,baseline,0.0,23882,25.96,1.0568,98.27,58259.35,11937,11945,118116,25.58,1.0368,98.32,186108382.03,59001,59115,-0.02,1.0368,98.32,118116,0.0
M1,derivative,64,0.1,0.5,20,asian,fft_clock,2.966624135383789,23170,26.08,1.0633,97.84,144371.3,11576,11594,114076,25.58,1.0368,98.36,114866980.43,56979,57097,-0.0265,1.0368,98.32,118116,0.0
M1,derivative,0,0.0,0.0,0,london,baseline,0.0,27124,24.63,1.0019,99.89,-97.2,13573,13551,127960,24.96,1.0218,99.93,424.57,63990,63970,0.0199,1.0218,99.93,127960,0.0
M1,derivative,0,0.0,0.0,0,all,baseline,0.0,71181,25.02,1.0186,100.0,-51.6,35590,35591,347245,24.91,1.0119,100.0,-100.0,173622,173623,-0.0067,1.0119,100.0,347245,0.0
M1,derivative,64,0.08,0.3,20,all,fft_clock,5.034987576388422,67591,25.1,1.0232,99.98,366.5,33796,33795,328229,24.92,1.0119,100.0,-100.0,164093,164136,-0.0113,1.0119,100.0,347245,0.0
M1,derivative,0,0.0,0.0,0,newyork,baseline,0.0,23362,24.45,0.9928,99.95,-99.02,11683,11679,113073,24.03,0.9716,100.0,-100.0,56528,56545,-0.0212,0.9716,100.0,113073,0.0
M1,derivative,64,0.08,0.3,20,newyork,fft_clock,5.034987576388422,22259,24.46,0.9931,99.9,-98.72,11134,11125,107300,24.03,0.9716,100.0,-100.0,53626,53674,-0.0215,0.9716,100.0,113073,0.0
M1,rsi,64,0.1,0.3,20,london,fft_clock,4.428446712779531,3300,35.79,1.1232,47.58,849.77,1650,1650,16922,34.77,1.074,72.2,59929.85,8487,8435,-0.0492,1.0741,71.93,17917,-0.0001
M1,derivative,64,0.08,0.5,10,newyork,fft_clock,4.053186488482977,22484,24.4,0.9902,99.93,-99.25,11236,11248,108393,24.03,0.9714,100.0,-100.0,54188,54205,-0.0188,0.9716,100.0,113073,-0.0002
M1,derivative,64,0.08,0.5,20,newyork,fft_clock,3.297293667315828,22628,24.45,0.9928,99.93,-98.87,11313,11315,109142,24.02,0.9714,100.0,-100.0,54557,54585,-0.0214,0.9716,100.0,113073,-0.0002
M1,derivative,64,0.1,0.5,10,newyork,fft_clock,3.885031226915587,22525,24.41,0.9906,99.93,-99.2,11256,11269,108598,24.03,0.9714,100.0,-100.0,54289,54309,-0.0192,0.9716,100.0,113073,-0.0002
M1,rsi,64,0.1,0.5,20,london,fft_clock,2.966624135383789,3357,35.75,1.121,49.95,844.4,1676,1681,17243,34.76,1.0738,75.67,66082.33,8663,8580,-0.0472,1.0741,71.93,17917,-0.0003
M1,derivative,64,0.08,0.3,10,all,fft_clock,5.248270767577731,67496,25.13,1.0246,99.98,836.63,33755,33741,327598,24.91,1.0116,100.0,-100.0,163787,163811,-0.013,1.0119,100.0,347245,-0.0003
M1,derivative,64,0.06,0.3,20,all,fft_clock,5.506413269760258,67275,25.09,1.0222,99.98,194.71,33641,33634,326406,24.91,1.0115,100.0,-100.0,163192,163214,-0.0107,1.0119,100.0,347245,-0.0004
M1,derivative,64,0.08,0.5,20,all,fft_clock,3.297293667315828,68799,25.08,1.0223,99.99,202.36,34402,34397,334483,24.91,1.0115,100.0,-100.0,167228,167255,-0.0108,1.0119,100.0,347245,-0.0004
