tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M1,5,1.0,30,2.0,newyork,full_confl,64,0.05,10,50.0,2457,28.45,1.016,73.38,1.29,1194,1263,12701,27.74,0.9844,99.16,-88.65,6343,6358,-0.0316,1.0078,100.0,220033,-0.0234,0.84,True
M1,5,0.3,30,2.0,newyork,full_confl,64,0.03,10,53.2,845,24.62,0.8157,69.01,-63.46,403,442,4430,28.35,0.9843,76.0,-53.99,2266,2164,0.1686,1.0296,98.53,72753,-0.0453,22.53,True
M1,5,1.0,30,2.0,newyork,full_confl,64,0.03,10,53.2,2611,28.65,1.0275,74.84,19.61,1268,1343,13409,27.69,0.9841,99.22,-90.1,6691,6718,-0.0434,1.0078,100.0,220033,-0.0237,0.78,True
M1,5,1.0,70,2.0,asian,fft_cycle,64,0.03,5,53.2,16193,28.53,0.9607,99.78,-99.43,8116,8077,78279,29.31,0.9837,100.0,-100.0,39331,38948,0.023,0.9721,100.0,350401,0.0116,0.0,True
M1,5,1.0,70,2.0,asian,fft_cycle,64,0.05,5,50.0,16193,28.53,0.9607,99.78,-99.43,8116,8077,78279,29.31,0.9837,100.0,-100.0,39331,38948,0.023,0.9721,100.0,350401,0.0116,0.0,True
M1,5,0.5,70,2.0,newyork,full_confl,64,0.05,5,50.0,5439,26.2,0.9114,98.57,-95.96,2620,2819,26090,27.81,0.9829,99.76,-99.1,12973,13117,0.0715,0.9847,100.0,193388,-0.0018,0.24,True
M1,5,0.5,30,2.0,asian,full_confl,64,0.05,5,50.0,3529,29.36,1.0048,69.54,-18.8,1746,1783,16981,29.39,0.9824,98.78,-96.26,8494,8487,-0.0224,0.9739,100.0,113973,0.0085,1.22,True
M1,5,0.5,30,2.0,asian,fft_cycle,64,0.03,5,53.2,5144,29.16,0.997,78.03,-41.58,2511,2633,25465,29.25,0.9811,99.72,-99.39,12736,12729,-0.0159,0.9739,100.0,113973,0.0072,0.28,True
M1,5,0.5,30,2.0,asian,fft_cycle,64,0.05,5,50.0,5144,29.16,0.997,78.03,-41.58,2511,2633,25465,29.25,0.9811,99.72,-99.39,12736,12729,-0.0159,0.9739,100.0,113973,0.0072,0.28,True
M1,5,0.5,70,2.0,asian,full_confl,64,0.03,5,53.2,6411,28.81,0.9716,89.81,-80.52,3229,3182,30601,29.38,0.9802,99.93,-99.82,15391,15210,0.0086,0.9755,100.0,195824,0.0047,0.07,True
M1,5,0.3,30,2.0,all,full_confl,64,0.05,5,50.0,6429,27.05,0.9367,97.93,-94.39,3082,3347,31283,28.3,0.98,99.9,-99.81,15593,15690,0.0433,0.9858,100.0,214969,-0.0058,0.1,True
M1,5,0.3,30,2.0,asian,baseline,0,0.0,0,0.0,14181,28.46,0.9627,99.69,-98.71,6917,7264,71276,29.35,0.9799,100.0,-100.0,35417,35859,0.0172,0.9799,100.0,71276,0.0,0.0,True
M1,5,0.3,70,2.0,asian,baseline,0,0.0,0,0.0,25410,28.35,0.9467,100.0,-100.0,12528,12882,127536,29.38,0.9799,100.0,-100.0,63731,63805,0.0332,0.9799,100.0,127536,0.0,0.0,True
M1,5,1.0,70,2.0,newyork,baseline,0,0.0,0,0.0,73371,26.57,0.9439,100.0,-100.0,35245,38126,340144,27.49,0.9797,100.0,-100.0,164902,175242,0.0358,0.9797,100.0,340144,0.0,0.0,True
M1,5,0.3,30,2.0,all,full_confl,64,0.05,10,50.0,2631,27.86,0.9709,76.92,-48.35,1260,1371,13496,28.33,0.9795,95.33,-93.59,6818,6678,0.0086,0.9858,100.0,214969,-0.0063,4.67,True
M1,5,0.5,30,2.0,asian,full_confl,64,0.03,10,53.2,1609,30.21,1.0497,56.03,37.36,791,818,7697,29.27,0.9794,91.54,-80.33,3936,3761,-0.0703,0.9739,100.0,113973,0.0055,8.46,True
M1,5,0.5,70,2.0,newyork,full_confl,64,0.03,5,53.2,5693,26.42,0.9188,98.65,-95.59,2763,2930,27502,27.73,0.9788,99.86,-99.63,13678,13824,0.06,0.9847,100.0,193388,-0.0059,0.14,True
