tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M5,5,0.5,30,3.0,asian,fft_cycle,64,0.03,10,51.6,372,25.27,1.0181,34.82,-0.54,181,191,2370,26.2,1.0787,64.03,171.58,1231,1139,0.0606,1.0055,99.72,24370,0.0732,35.69,True
M5,5,0.5,30,3.0,asian,fft_cycle,64,0.05,10,48.3,372,25.27,1.0181,34.82,-0.54,181,191,2370,26.2,1.0787,64.03,171.58,1231,1139,0.0606,1.0055,99.72,24370,0.0732,35.69,True
M5,5,1.0,30,2.0,asian,full_confl,64,0.03,10,51.6,511,33.07,0.9912,37.26,-7.74,245,266,3099,35.01,1.078,50.33,250.62,1639,1460,0.0868,1.0084,99.89,48998,0.0696,49.56,True
M5,5,0.3,30,2.0,all,full_confl,64,0.05,10,48.3,449,32.52,1.0282,44.93,3.76,178,271,2513,33.11,1.0777,47.45,160.67,1246,1267,0.0495,0.9909,100.0,44934,0.0868,52.55,True
M5,5,0.3,30,2.0,all,full_confl,64,0.03,10,51.6,471,32.27,1.0133,42.76,-0.51,192,279,2651,33.04,1.0742,44.86,159.87,1308,1343,0.0609,0.9909,100.0,44934,0.0833,55.14,True
M5,5,0.5,70,2.0,asian,fft_cycle,64,0.03,10,51.6,688,34.3,1.0442,44.21,13.96,328,360,3924,34.91,1.0737,62.25,339.8,2029,1895,0.0295,1.0094,99.64,41602,0.0643,37.39,True
M5,5,0.5,70,2.0,asian,fft_cycle,64,0.05,10,48.3,688,34.3,1.0442,44.21,13.96,328,360,3924,34.91,1.0737,62.25,339.8,2029,1895,0.0295,1.0094,99.64,41602,0.0643,37.39,True
M5,5,1.0,30,2.0,asian,full_confl,64,0.05,10,48.3,481,33.26,0.9969,35.3,-5.61,238,243,2917,34.9,1.0727,50.05,195.51,1549,1368,0.0758,1.0084,99.89,48998,0.0643,49.84,True
M5,5,0.3,70,2.0,newyork,full_confl,64,0.03,5,51.6,802,31.42,0.9786,50.38,-16.94,347,455,3570,32.3,1.0726,63.76,240.15,1727,1843,0.094,1.0226,99.76,26204,0.05,36.0,True
M5,5,0.5,30,2.0,newyork,fft_cycle,64,0.03,10,51.6,429,26.81,0.7958,50.79,-46.59,172,257,2241,31.77,1.0707,63.39,108.03,1099,1142,0.2749,1.0301,99.72,26548,0.0406,36.33,True
M5,5,0.5,30,2.0,newyork,fft_cycle,64,0.05,10,48.3,429,26.81,0.7958,50.79,-46.59,172,257,2241,31.77,1.0707,63.39,108.03,1099,1142,0.2749,1.0301,99.72,26548,0.0406,36.33,True
M5,5,0.3,30,2.0,newyork,fft_cycle,128,0.03,5,62.6,709,28.07,0.8274,71.79,-59.08,305,404,3447,32.58,1.0705,68.29,216.69,1607,1840,0.2431,1.0604,93.46,16010,0.0101,25.17,True
M5,5,0.3,30,2.0,newyork,fft_cycle,128,0.05,5,58.6,709,28.07,0.8274,71.79,-59.08,305,404,3447,32.58,1.0705,68.29,216.69,1607,1840,0.2431,1.0604,93.46,16010,0.0101,25.17,True
M5,5,0.3,70,2.0,newyork,full_confl,64,0.03,10,51.6,252,30.16,0.9383,22.93,-11.59,111,141,1396,31.81,1.0699,48.34,56.92,656,740,0.1316,1.0226,99.76,26204,0.0473,51.42,True
M5,5,1.0,30,2.0,newyork,full_confl,64,0.03,10,51.6,508,28.94,0.8855,56.65,-34.67,199,309,2928,31.59,1.0681,63.76,148.49,1445,1483,0.1826,1.0197,99.87,53577,0.0484,36.11,True
M5,5,0.5,70,2.0,newyork,full_confl,64,0.05,5,48.3,1159,30.03,0.9158,75.08,-52.62,529,630,5355,32.21,1.0681,65.34,445.73,2601,2754,0.1523,0.9979,100.0,41603,0.0702,34.66,True
M5,5,1.0,30,2.0,newyork,full_confl,64,0.05,10,48.3,483,28.99,0.8861,57.12,-33.2,187,296,2772,31.6,1.0676,61.39,135.02,1363,1409,0.1815,1.0197,99.87,53577,0.0479,38.48,True
M5,5,0.5,30,3.0,asian,full_confl,64,0.05,5,48.3,621,25.44,1.0418,37.39,10.23,320,301,3606,25.9,1.067,73.4,237.28,1780,1826,0.0252,1.0055,99.72,24370,0.0615,26.32,True
M5,5,0.3,70,2.0,asian,full_confl,64,0.03,5,51.6,736,34.51,1.0539,23.64,20.39,366,370,3893,34.68,1.0622,53.94,227.26,1930,1963,0.0083,1.0039,98.69,26419,0.0583,44.75,True
M5,5,0.5,70,2.0,newyork,full_confl,64,0.03,5,51.6,1237,30.15,0.9256,74.52,-51.04,562,675,5629,32.08,1.0611,69.03,372.19,2736,2893,0.1355,0.9979,100.0,41603,0.0632,30.97,True
M5,5,0.3,30,2.0,newyork,baseline,0,0.0,0,0.0,3448,30.66,0.9544,90.22,-73.56,1528,1920,16010,32.55,1.0604,93.46,8183.0,7505,8505,0.106,1.0604,93.46,16010,0.0,0.0,True
M5,5,0.3,70,2.0,asian,full_confl,64,0.05,5,48.3,701,34.09,1.0346,24.38,9.37,347,354,3716,34.63,1.0601,51.8,195.58,1845,1871,0.0255,1.0039,98.69,26419,0.0562,46.89,True
M5,5,0.5,30,2.0,asian,full_confl,64,0.05,5,48.3,621,34.14,1.0367,30.76,9.15,320,301,3606,34.55,1.0568,63.03,165.22,1780,1826,0.0201,1.0025,99.74,24370,0.0543,36.71,True
M5,5,0.5,30,3.0,asian,full_confl,64,0.03,5,51.6,661,25.11,1.0247,34.9,2.25,338,323,3780,25.71,1.0565,78.1,169.72,1859,1921,0.0318,1.0055,99.72,24370,0.051,21.62,True
M5,5,0.3,30,3.0,asian,fft_cycle,64,0.03,10,51.6,232,26.29,1.0765,26.12,9.91,119,113,1370,25.84,1.0546,55.96,40.93,714,656,-0.0219,1.0126,96.86,14690,0.042,40.9,True
M5,5,0.3,30,3.0,asian,fft_cycle,64,0.05,10,48.3,232,26.29,1.0765,26.12,9.91,119,113,1370,25.84,1.0546,55.96,40.93,714,656,-0.0219,1.0126,96.86,14690,0.042,40.9,True
M5,5,0.5,70,3.0,asian,full_confl,64,0.03,10,51.6,424,28.07,1.1743,27.93,58.76,193,231,2519,25.68,1.0526,67.49,80.71,1305,1214,-0.1217,1.009,99.95,41602,0.0436,32.46,True
M5,5,1.0,30,2.0,asian,fft_cycle,128,0.03,5,62.6,2033,34.87,1.0734,47.27,114.59,990,1043,10243,34.36,1.0493,89.74,875.27,5161,5082,-0.0241,1.0084,99.89,48998,0.0409,10.15,True
M5,5,1.0,30,2.0,asian,fft_cycle,128,0.05,5,58.6,2033,34.87,1.0734,47.27,114.59,990,1043,10243,34.36,1.0493,89.74,875.27,5161,5082,-0.0241,1.0084,99.89,48998,0.0409,10.15,True
M5,5,0.3,30,2.0,all,full_confl,64,0.05,5,48.3,1256,33.52,1.0538,57.72,35.89,548,708,6423,32.68,1.049,80.99,283.54,3148,3275,-0.0048,0.9909,100.0,44934,0.0581,19.01,True
M5,5,0.5,30,2.0,asian,full_confl,64,0.03,5,51.6,661,34.34,1.0461,32.87,14.27,338,323,3780,34.34,1.0468,68.23,117.92,1859,1921,0.0007,1.0025,99.74,24370,0.0443,31.51,True
M5,5,0.3,30,2.0,newyork,fft_cycle,64,0.03,10,51.6,249,26.51,0.7811,39.83,-32.4,95,154,1345,31.15,1.0462,52.89,28.02,660,685,0.2651,1.0604,93.46,16010,-0.0142,40.57,True
M5,5,0.3,30,2.0,newyork,fft_cycle,64,0.05,10,48.3,249,26.51,0.7811,39.83,-32.4,95,154,1345,31.15,1.0462,52.89,28.02,660,685,0.2651,1.0604,93.46,16010,-0.0142,40.57,True
M5,5,1.0,30,3.0,asian,full_confl,64,0.03,10,51.6,511,25.05,1.0132,50.92,-2.52,245,266,3099,25.59,1.0457,61.7,77.82,1639,1460,0.0325,1.0092,99.93,48998,0.0365,38.23,True
M5,5,1.0,30,2.0,asian,fft_cycle,64,0.03,10,51.6,821,31.91,0.9408,55.34,-33.62,401,420,4863,34.32,1.0454,68.99,161.13,2532,2331,0.1046,1.0084,99.89,48998,0.037,30.9,True
M5,5,1.0,30,2.0,asian,fft_cycle,64,0.05,10,48.3,821,31.91,0.9408,55.34,-33.62,401,420,4863,34.32,1.0454,68.99,161.13,2532,2331,0.1046,1.0084,99.89,48998,0.037,30.9,True
M5,5,0.3,30,2.0,all,full_confl,64,0.03,5,51.6,1319,33.66,1.0647,56.56,50.74,584,735,6728,32.6,1.045,82.21,247.61,3287,3441,-0.0197,0.9909,100.0,44934,0.0541,17.79,True
M5,5,0.3,70,3.0,asian,full_confl,64,0.03,10,51.6,268,29.1,1.2381,16.0,50.09,128,140,1571,25.65,1.0449,43.28,32.84,811,760,-0.1932,1.0099,99.75,26419,0.035,56.47,True
M5,5,1.0,30,3.0,asian,full_confl,64,0.05,10,48.3,481,25.36,1.0281,48.4,2.87,238,243,2917,25.57,1.0448,63.88,68.72,1549,1368,0.0167,1.0092,99.93,48998,0.0356,36.05,True
M5,5,0.3,30,2.0,newyork,full_confl,128,0.05,5,58.6,527,26.38,0.7575,68.25,-60.78,232,295,2583,32.06,1.0441,65.95,57.89,1223,1360,0.2866,1.0604,93.46,16010,-0.0163,27.51,True
M5,5,0.5,70,3.0,asian,full_confl,64,0.05,10,48.3,397,27.71,1.1538,24.93,45.8,184,213,2376,25.55,1.0436,62.69,49.83,1234,1142,-0.1102,1.009,99.95,41602,0.0346,37.26,True
M5,5,0.5,30,2.0,all,full_confl,64,0.05,5,48.3,2096,32.06,0.9993,82.8,-18.97,957,1139,10646,32.56,1.0433,78.25,543.32,5231,5415,0.044,0.9926,100.0,74625,0.0507,21.75,True
M5,5,1.0,30,2.0,asian,full_confl,64,0.05,5,48.3,1292,34.21,1.04,57.59,23.36,683,609,7072,34.25,1.0426,85.1,255.41,3516,3556,0.0026,1.0084,99.89,48998,0.0342,14.79,True
M5,5,1.0,30,2.0,newyork,full_confl,64,0.03,5,51.6,1538,29.32,0.8957,89.33,-69.57,654,884,7374,31.62,1.0425,72.35,236.87,3582,3792,0.1468,1.0197,99.87,53577,0.0228,27.52,True
M5,5,1.0,30,2.0,asian,fft_cycle,128,0.03,10,62.6,755,32.98,0.9881,41.17,-12.59,393,362,4212,34.24,1.0423,73.62,110.88,2178,2034,0.0542,1.0084,99.89,48998,0.0339,26.27,True
M5,5,1.0,30,2.0,asian,fft_cycle,128,0.05,10,58.6,755,32.98,0.9881,41.17,-12.59,393,362,4212,34.24,1.0423,73.62,110.88,2178,2034,0.0542,1.0084,99.89,48998,0.0339,26.27,True
M5,5,0.5,30,2.0,all,full_confl,64,0.03,5,51.6,2204,32.08,1.0021,83.32,-16.52,1012,1192,11163,32.52,1.041,75.54,500.44,5474,5689,0.0389,0.9926,100.0,74625,0.0484,24.46,True
