tf,ema_period,atr_channel_mult,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,100,1.5,1.5,3.0,asian,7261,26.21,0.6835,100.0,-100.0,37071,25.33,0.6426,100.0,-100.0,44332,22235,22097,12.165514752323377
M1,20,2.5,1.0,3.0,newyork,3652,22.62,0.5995,100.0,-100.0,19374,24.65,0.642,100.0,-100.0,23026,11591,11435,5.957257013810475
M1,20,3.0,1.0,4.0,newyork,1987,19.63,0.6979,99.89,-99.87,10482,19.08,0.642,100.0,-100.0,12469,6233,6236,7.5087737589221275
M1,20,2.5,1.5,4.0,all,12492,18.28,0.6788,100.0,-100.0,64042,17.9,0.6416,100.0,-100.0,76534,38309,38225,15.718389212637524
M1,20,2.5,1.0,2.0,london,4709,32.3,0.6682,100.0,-100.0,23236,32.3,0.6414,100.0,-100.0,27945,13841,14104,3.449447128287708
M1,20,1.5,1.5,4.0,asian,10802,19.45,0.6621,100.0,-100.0,55356,19.31,0.6412,100.0,-100.0,66158,32973,33185,15.248982738293176
M1,50,2.0,1.5,3.0,asian,8139,26.26,0.6817,100.0,-100.0,41767,25.35,0.6407,100.0,-100.0,49906,25045,24861,12.132617320562659
M1,20,2.5,1.5,4.0,asian,4858,19.33,0.6467,100.0,-100.0,24905,19.51,0.6393,100.0,-100.0,29763,14752,15011,13.918388603299398
M1,100,2.0,1.5,3.0,asian,6765,25.93,0.67,100.0,-100.0,35164,25.26,0.639,100.0,-100.0,41929,20972,20957,12.18067208853061
M1,50,1.5,1.5,3.0,asian,9295,25.99,0.675,100.0,-100.0,47074,25.29,0.6384,100.0,-100.0,56369,28196,28173,12.082447799322322
M1,100,3.0,1.5,3.0,asian,5895,25.36,0.6539,100.0,-100.0,29573,25.22,0.6366,100.0,-100.0,35468,17959,17509,12.233241231532649
M1,20,2.0,1.5,3.0,all,20485,23.33,0.6497,100.0,-100.0,103700,23.49,0.6363,100.0,-100.0,124185,62329,61856,12.883504449007528
M1,100,1.5,1.0,2.0,newyork,7142,33.27,0.6391,100.0,-100.0,32692,33.72,0.6347,100.0,-100.0,39834,19906,19928,4.5
M1,20,2.0,1.5,4.0,asian,7535,19.11,0.6455,100.0,-100.0,39126,19.25,0.6341,100.0,-100.0,46661,23340,23321,14.53229677889458
M1,20,3.0,1.5,4.0,asian,2965,19.56,0.653,100.0,-100.0,14736,19.52,0.6334,100.0,-100.0,17701,8651,9050,13.133500932150726
M1,50,2.5,1.5,3.0,asian,7015,25.53,0.6611,100.0,-100.0,35689,25.17,0.6332,100.0,-100.0,42704,21448,21256,12.049281097789434
M1,50,2.0,1.0,2.0,newyork,7810,32.87,0.6308,100.0,-100.0,37284,33.61,0.6312,100.0,-100.0,45094,22606,22488,4.382680622699251
M1,100,3.0,1.0,2.0,newyork,5451,31.81,0.6075,100.0,-100.0,25651,33.53,0.631,100.0,-100.0,31102,15286,15816,4.4
