tf,ema_period,atr_channel_mult,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,50,2.5,1.5,3.0,london,1546,24.9,0.9096,85.09,-74.15,7370,24.57,0.8818,99.98,-99.97,8916,4407,4509,16.904037685060565
M15,100,3.0,1.5,4.0,london,470,19.79,0.9744,45.58,-17.45,2233,18.63,0.8804,93.55,-93.16,2703,1359,1344,20.10425453200148
M15,100,1.5,1.5,3.0,asian,379,24.01,0.8638,58.27,-37.81,1954,24.51,0.8798,95.25,-88.9,2333,1095,1238,9.551264466352336
M15,100,1.5,1.5,4.0,all,1262,22.35,1.0973,50.3,106.69,6417,18.87,0.8796,99.99,-99.96,7679,3688,3991,22.145123062898815
M15,50,1.5,1.0,4.0,london,856,20.56,0.9486,65.27,-42.12,4085,19.46,0.8792,99.67,-99.38,4941,2439,2502,7.43859542602712
M5,50,3.0,1.0,4.0,london,1184,19.59,0.8556,85.95,-82.69,5631,20.17,0.8778,99.96,-99.93,6815,3425,3390,8.96525311812179
M5,100,1.5,1.5,2.0,london,1841,33.08,0.8849,88.75,-81.89,8888,33.16,0.8776,99.99,-99.98,10729,5257,5472,9.948522695498182
M15,100,2.5,1.5,4.0,asian,365,23.01,1.0943,31.79,22.75,1645,19.39,0.8771,90.54,-87.4,2010,983,1027,11.099751243781094
M15,100,2.0,1.5,4.0,all,1186,22.43,1.0987,52.27,100.86,5886,18.82,0.8771,99.98,-99.93,7072,3501,3571,21.969570135746604
M15,20,1.5,1.5,3.0,london,919,24.7,0.9245,71.47,-49.47,4423,23.81,0.8769,99.54,-99.33,5342,2650,2692,14.109659303631599
M5,100,2.0,1.5,4.0,london,1735,20.63,0.9621,84.32,-59.73,8186,19.36,0.8769,100.0,-100.0,9921,4897,5024,22.97981050297349
M15,20,3.0,1.0,4.0,london,217,15.67,0.6953,53.19,-46.72,1112,19.24,0.8766,77.59,-75.32,1329,630,699,8.599999999999998
M15,20,2.0,1.0,4.0,newyork,363,16.8,0.7676,55.56,-54.99,1772,19.02,0.8758,89.2,-89.17,2135,1068,1067,16.872037470725996
M15,100,2.0,1.5,2.0,asian,378,32.01,0.8441,49.95,-37.37,1839,32.9,0.8753,87.74,-84.13,2217,1079,1138,7.451150202976996
M15,100,1.5,1.0,4.0,london,659,22.76,1.0805,39.38,34.54,3304,19.37,0.8749,99.2,-98.54,3963,1905,2058,7.9993186979560935
M15,50,3.0,1.0,3.0,london,450,22.67,0.8117,58.59,-53.27,2132,24.34,0.8746,93.47,-91.69,2582,1306,1276,5.443996901626646
M15,20,1.5,1.5,3.0,newyork,534,22.47,0.8329,60.56,-54.62,2767,23.42,0.8745,96.94,-95.73,3301,1594,1707,29.597061496516204
M15,20,3.0,1.0,2.0,newyork,95,32.63,0.9152,15.17,-6.38,593,32.21,0.8744,53.46,-44.66,688,336,352,7.28953488372093
M15,50,2.5,1.5,4.0,newyork,385,15.84,0.785,55.3,-53.66,1958,17.98,0.8744,91.07,-91.07,2343,1122,1221,38.70938967136151
M5,20,3.0,1.5,4.0,london,515,19.03,0.8881,51.2,-44.75,2480,19.07,0.8731,97.29,-95.93,2995,1448,1547,22.931218697829717
M15,50,1.5,1.5,3.0,london,856,27.22,1.0536,43.86,24.09,4085,23.72,0.8731,99.52,-99.13,4941,2439,2502,13.777190852054241
M15,20,2.5,1.5,2.0,newyork,197,31.98,0.9066,21.25,-13.74,1076,31.6,0.873,67.67,-65.84,1273,631,642,20.640455616653572
M5,50,1.5,1.5,3.0,london,2231,23.89,0.8558,95.84,-94.79,10658,24.43,0.873,100.0,-100.0,12889,6296,6593,16.569237334160913
M5,50,2.0,1.5,3.0,london,1910,24.71,0.8961,89.53,-84.81,9077,24.38,0.872,100.0,-100.0,10987,5454,5533,16.765231637389643
M15,50,2.0,1.5,2.0,london,730,34.11,0.9654,45.14,-21.94,3481,32.0,0.8719,97.42,-97.07,4211,2110,2101,9.056019947755878
M15,20,3.0,1.5,2.0,london,217,31.34,0.8649,33.92,-20.54,1112,31.83,0.8715,71.57,-67.6,1329,630,699,9.493905191873589
M15,20,2.5,1.0,3.0,london,405,20.74,0.7254,65.72,-62.95,1913,24.26,0.8715,89.85,-89.78,2318,1158,1160,5.39702329594478
M15,50,1.5,1.0,3.0,london,856,25.47,0.9335,70.39,-44.22,4085,24.33,0.871,99.56,-99.26,4941,2439,2502,5.13464885650678
M5,100,3.0,1.5,3.0,london,1349,24.02,0.8654,86.16,-81.26,6390,24.35,0.8709,99.97,-99.95,7739,3907,3832,17.2348623853211
M15,100,1.5,1.5,4.0,newyork,440,22.73,1.1779,31.85,67.88,2270,18.15,0.8708,95.4,-94.45,2710,1319,1391,36.4929889298893
M15,20,3.0,1.0,3.0,london,217,19.82,0.6902,53.1,-45.21,1112,24.19,0.8705,73.81,-73.61,1329,630,699,5.54492099322799
M15,100,3.0,1.5,3.0,all,1031,24.93,0.9352,54.46,-49.33,4643,23.71,0.8696,99.84,-99.61,5674,2819,2855,18.79975326048643
M15,20,2.0,1.5,4.0,all,1106,18.08,0.8464,86.42,-80.86,5321,18.61,0.8689,99.91,-99.9,6427,3279,3148,21.937669208028627
M15,100,2.0,1.5,3.0,all,1186,27.49,1.0618,48.88,45.17,5886,23.75,0.8684,99.98,-99.92,7072,3501,3571,17.734785067873304
M15,50,1.5,1.5,4.0,london,856,21.5,1.059,58.61,26.22,4085,18.56,0.8681,99.77,-99.53,4941,2439,2502,19.402408419348312
M5,100,1.5,1.5,3.0,newyork,1313,23.76,0.854,85.56,-82.69,6135,24.16,0.8681,99.96,-99.94,7448,3625,3823,33.85958646616542
M5,100,1.5,1.5,2.0,newyork,1313,31.0,0.8069,87.93,-86.52,6135,32.73,0.868,99.88,-99.85,7448,3625,3823,20.88845327604726
M15,100,3.0,1.0,3.0,london,470,23.19,0.8333,57.69,-50.85,2233,24.23,0.8677,93.87,-93.52,2703,1359,1344,5.443433222345542
M15,100,3.0,1.5,2.0,all,1031,33.66,0.9412,47.7,-40.93,4643,32.05,0.8676,99.52,-99.23,5674,2819,2855,13.790729643990131
M5,20,1.5,1.5,4.0,london,2419,19.14,0.8806,96.75,-94.84,11659,19.15,0.8671,100.0,-100.0,14078,6884,7194,22.537462707770988
M15,100,2.5,1.5,3.0,asian,365,28.22,1.0727,30.32,15.71,1645,24.19,0.867,88.96,-86.78,2010,983,1027,9.408955223880596
M15,20,2.0,1.5,2.0,london,645,32.56,0.9069,55.9,-38.48,3051,31.86,0.867,96.41,-95.94,3696,1867,1829,9.418831168831169
M15,50,1.5,1.0,2.0,london,856,33.53,0.9075,61.83,-47.84,4085,32.73,0.8667,99.14,-98.72,4941,2439,2502,3.0
M5,50,2.5,1.5,2.0,london,1546,33.64,0.9145,78.3,-66.56,7370,32.81,0.866,99.97,-99.96,8916,4407,4509,10.2
M5,50,1.5,1.5,2.0,london,2231,33.75,0.9104,88.55,-80.81,10658,32.85,0.8656,100.0,-100.0,12889,6296,6593,10.030762665839088
M15,100,2.5,1.5,4.0,all,1128,20.83,1.0133,64.63,-10.04,5275,18.48,0.8655,99.96,-99.91,6403,3211,3192,23.034718100890206
M5,100,1.5,1.0,4.0,london,1841,20.86,0.9206,89.49,-81.02,8888,20.07,0.8655,100.0,-100.0,10729,5257,5472,8.962727187995155
M15,20,3.0,1.5,3.0,all,315,24.13,0.917,40.43,-22.18,1610,23.42,0.8652,90.38,-86.01,1925,945,980,18.318181818181817
M15,100,2.5,1.5,2.0,london,532,32.89,0.9151,43.3,-30.92,2617,31.79,0.8649,95.18,-93.84,3149,1589,1560,9.102731025722452
M15,100,2.5,1.5,2.0,asian,365,35.62,0.9939,29.39,-5.16,1645,32.58,0.8639,84.04,-83.25,2010,983,1027,7.2181592039800995
M15,20,1.5,1.5,4.0,london,919,19.37,0.9407,74.63,-46.89,4423,18.52,0.8635,99.78,-99.75,5342,2650,2692,20.002115312616993
M15,100,1.5,1.5,3.0,all,1262,26.62,1.0189,54.93,-1.05,6417,23.61,0.8623,99.99,-99.97,7679,3688,3991,17.715041020966275
M5,100,2.5,1.5,3.0,london,1559,25.59,0.9403,78.72,-62.41,7318,24.19,0.862,100.0,-99.99,8877,4401,4476,17.051244789906498
M15,100,2.5,1.0,3.0,london,532,25.75,0.9501,43.28,-25.27,2617,24.07,0.8618,97.01,-96.43,3149,1589,1560,5.602731025722451
M5,20,3.0,1.0,4.0,newyork,263,18.63,0.8107,41.32,-39.02,1457,19.56,0.8614,90.69,-87.41,1720,860,860,14.65656976744186
M5,20,3.0,1.5,3.0,london,515,23.69,0.8602,49.75,-48.27,2480,24.07,0.8611,96.67,-95.83,2995,1448,1547,15.965609348914859
M5,100,2.0,1.5,2.0,london,1735,33.49,0.9011,85.23,-75.37,8186,32.73,0.8609,99.99,-99.99,9921,4897,5024,9.847535530692472
M15,100,1.5,1.0,4.0,asian,379,18.47,0.7968,71.19,-53.51,1954,19.86,0.8608,96.21,-94.05,2333,1095,1238,6.132490355765109
M5,50,2.0,1.0,4.0,london,1910,20.52,0.9031,90.0,-86.75,9077,19.95,0.8605,100.0,-100.0,10987,5454,5533,8.895694912168928
M5,100,2.0,1.5,3.0,london,1735,25.53,0.9326,87.78,-69.85,8186,24.14,0.8602,100.0,-100.0,9921,4897,5024,16.642606592077414
M15,100,1.5,1.5,2.0,asian,379,29.55,0.7552,61.26,-52.1,1954,32.55,0.86,93.69,-88.75,2333,1095,1238,7.332490355765108
M15,50,2.0,1.5,4.0,all,1495,20.4,0.9838,62.02,-39.43,7010,18.46,0.86,100.0,-99.99,8505,4246,4259,22.146090534979425
M15,20,2.5,1.0,3.0,newyork,197,24.37,0.918,23.51,-14.51,1076,23.61,0.8599,76.63,-74.62,1273,631,642,12.641633935585231
M15,50,1.5,1.5,2.0,london,856,34.23,0.9695,53.07,-23.39,4085,31.73,0.8599,99.3,-98.9,4941,2439,2502,8.45197328476017
M15,50,2.5,1.5,4.0,all,1222,19.97,0.9626,60.51,-46.34,5817,18.46,0.8595,99.98,-99.97,7039,3479,3560,22.68192925131411
M15,100,1.5,1.5,2.0,london,659,35.96,1.0466,39.74,14.81,3304,31.69,0.8594,98.42,-97.42,3963,1905,2058,8.816401715871814
M5,50,3.0,1.5,2.0,london,1184,35.39,0.9909,56.26,-17.77,5631,32.59,0.8594,99.89,-99.82,6815,3425,3390,10.382626559060895
M15,100,2.0,1.0,3.0,london,590,28.47,1.087,33.86,34.83,2982,24.04,0.8593,98.72,-97.9,3572,1772,1800,5.366069428891377
M15,50,2.0,1.0,2.0,london,730,34.38,0.9442,59.21,-30.25,3481,32.49,0.8587,98.2,-98.03,4211,2110,2101,3.1346710995013063
M15,50,2.5,1.5,3.0,all,1222,24.88,0.9354,64.1,-55.23,5817,23.47,0.8587,99.97,-99.94,7039,3479,3560,18.125685466685606
M15,20,2.5,1.5,2.0,all,623,30.34,0.8142,60.13,-59.48,3024,31.68,0.858,97.32,-96.6,3647,1839,1808,12.082917466410748
M15,20,2.5,1.0,4.0,all,623,15.89,0.6954,84.95,-83.73,3024,19.05,0.858,99.05,-98.67,3647,1839,1808,9.834165067178501
M15,50,2.5,1.5,2.0,london,585,31.79,0.8694,56.83,-45.26,2852,31.63,0.8579,96.43,-95.89,3437,1724,1713,9.40849578120454
M5,100,3.0,1.5,2.0,london,1349,33.21,0.8925,83.71,-69.12,6390,32.58,0.8578,99.95,-99.93,7739,3907,3832,10.455963302752293
M15,20,2.0,1.5,3.0,all,1106,22.78,0.8348,83.32,-80.46,5321,23.45,0.8575,99.92,-99.9,6427,3279,3148,16.989295161039365
M15,50,2.0,1.0,4.0,london,730,20.82,0.9651,60.5,-30.52,3481,19.05,0.8573,99.38,-99.32,4211,2110,2101,8.060033246259797
M5,100,2.5,1.5,2.0,london,1559,34.51,0.9448,76.24,-53.42,7318,32.6,0.8569,99.98,-99.98,8877,4401,4476,10.06487552100935
M15,20,3.0,1.5,2.0,all,315,31.11,0.8638,38.62,-28.51,1610,31.55,0.8567,85.78,-83.7,1925,945,980,11.863636363636363
