tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,20,8,2,0.05,0.0,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,17,29.411764705882355,1.5186571969773928,7.17484623735232,7.193031808600381,18,8,10,14.0
M15,20,8,2,0.05,0.02,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,17,29.411764705882355,1.5186571969773928,7.17484623735232,7.193031808600381,18,8,10,14.0
M15,20,8,2,0.05,0.05,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,17,29.411764705882355,1.5186571969773928,7.17484623735232,7.193031808600381,18,8,10,14.0
M15,20,8,4,0.05,0.0,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,17,29.411764705882355,1.5186571969773928,7.17484623735232,7.193031808600381,18,8,10,14.0
M15,20,8,4,0.15,0.0,1.0,4.0,1,100.0,inf,0.0,4.347747937058388,14,28.57142857142857,1.4580402027958823,6.110621669582137,5.169629895226424,15,6,9,18.666666666666668
M15,20,8,4,0.15,0.02,1.0,4.0,1,100.0,inf,0.0,4.347747937058388,14,28.57142857142857,1.4580402027958823,6.110621669582137,5.169629895226424,15,6,9,18.666666666666668
M15,20,8,4,0.15,0.05,1.0,4.0,1,100.0,inf,0.0,4.347747937058388,14,28.57142857142857,1.4580402027958823,6.110621669582137,5.169629895226424,15,6,9,18.666666666666668
M15,20,8,2,0.15,0.0,1.0,2.0,1,100.0,inf,0.0,2.173873968529483,16,43.75,1.4436754518065764,6.126615675689502,4.479428200681523,17,7,10,13.0
M15,20,8,2,0.15,0.02,1.0,2.0,1,100.0,inf,0.0,2.173873968529483,16,43.75,1.4436754518065764,6.126615675689502,4.479428200681523,17,7,10,13.0
M15,20,8,2,0.15,0.05,1.0,2.0,1,100.0,inf,0.0,2.173873968529483,16,43.75,1.4436754518065764,6.126615675689502,4.479428200681523,17,7,10,13.0
M15,20,8,2,0.1,0.0,1.0,2.0,1,100.0,inf,0.0,1.9645525493583893,16,43.75,1.4425430710649232,6.120103538447482,4.49211317047451,17,7,10,12.647058823529411
M15,20,8,2,0.1,0.02,1.0,2.0,1,100.0,inf,0.0,1.9645525493583893,16,43.75,1.4425430710649232,6.120103538447482,4.49211317047451,17,7,10,12.647058823529411
M15,20,8,2,0.1,0.05,1.0,2.0,1,100.0,inf,0.0,1.9645525493583893,16,43.75,1.4425430710649232,6.120103538447482,4.49211317047451,17,7,10,12.647058823529411
M15,20,8,2,0.1,0.0,1.0,3.0,1,100.0,inf,0.0,2.946828824037606,15,33.33333333333333,1.4002028092777363,7.045556060899706,4.538225893400605,16,6,10,15.812499999999998
M15,20,8,2,0.1,0.02,1.0,3.0,1,100.0,inf,0.0,2.946828824037606,15,33.33333333333333,1.4002028092777363,7.045556060899706,4.538225893400605,16,6,10,15.812499999999998
M15,20,8,2,0.1,0.05,1.0,3.0,1,100.0,inf,0.0,2.946828824037606,15,33.33333333333333,1.4002028092777363,7.045556060899706,4.538225893400605,16,6,10,15.812499999999998
M15,20,8,2,0.15,0.0,1.0,3.0,1,100.0,inf,0.0,3.2608109527939355,15,33.33333333333333,1.3994220164996771,7.052004243094921,4.502419737194718,16,6,10,16.0625
M15,20,8,2,0.15,0.02,1.0,3.0,1,100.0,inf,0.0,3.2608109527939355,15,33.33333333333333,1.3994220164996771,7.052004243094921,4.502419737194718,16,6,10,16.0625
M15,20,8,2,0.15,0.05,1.0,3.0,1,100.0,inf,0.0,3.2608109527939355,15,33.33333333333333,1.3994220164996771,7.052004243094921,4.502419737194718,16,6,10,16.0625
M15,20,4,2,0.05,0.0,1.5,4.0,18,33.33333333333333,1.8918954590278474,3.2785133106049997,12.150788734238983,72,27.77777777777778,1.374677387141861,16.10012213412084,23.54839793540058,90,46,44,38.422222222222224
