tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M5,full_confluence,128,0.03,3,0.12,10,1.5,2.0,london,10,20.0,0.4457,7.25,-4.76,4,6,99.9,62.6,82,39.02,1.14,13.27,6.88,40,42,0.6943,0.9038,100.0,26794,0.2362,86.73,True
M5,fft_cycle_only,128,0.03,5,0.12,10,1.5,4.0,all,10,40.0,2.2711,3.47,8.71,6,4,99.9,62.6,135,24.44,1.139,23.3,13.43,66,69,-1.1321,0.831,100.0,72293,0.308,76.7,True
M5,fft_cycle_only,128,0.05,5,0.12,10,1.5,4.0,all,10,40.0,2.2711,3.47,8.71,6,4,99.9,58.6,135,24.44,1.139,23.3,13.43,66,69,-1.1321,0.831,100.0,72293,0.308,76.7,True
M5,fft_cycle_only,128,0.08,5,0.12,10,1.5,4.0,all,10,40.0,2.2711,3.47,8.71,6,4,99.9,52.1,135,24.44,1.139,23.3,13.43,66,69,-1.1321,0.831,100.0,72293,0.308,76.7,True
M5,full_confluence,128,0.08,3,0.12,10,1.0,4.0,london,10,10.0,0.3856,8.49,-6.13,4,6,99.9,52.1,77,24.68,1.1375,18.51,7.39,37,40,0.7519,0.886,100.0,26794,0.2515,81.49,True
M5,fft_cycle_only,128,0.03,3,0.12,10,1.5,3.0,london,10,10.0,0.3009,8.24,-6.66,4,6,99.9,62.6,95,29.47,1.1299,23.09,8.13,46,49,0.829,0.9156,100.0,26794,0.2143,76.91,True
M5,fft_cycle_only,128,0.05,3,0.12,10,1.5,3.0,london,10,10.0,0.3009,8.24,-6.66,4,6,99.9,58.6,95,29.47,1.1299,23.09,8.13,46,49,0.829,0.9156,100.0,26794,0.2143,76.91,True
M5,fft_cycle_only,128,0.08,3,0.12,10,1.5,3.0,london,10,10.0,0.3009,8.24,-6.66,4,6,99.9,52.1,95,29.47,1.1299,23.09,8.13,46,49,0.829,0.9156,100.0,26794,0.2143,76.91,True
M5,full_confluence,128,0.08,3,0.12,10,1.0,4.0,all,21,19.05,0.7628,12.75,-4.96,10,11,99.9,52.1,193,25.39,1.1196,30.34,16.84,94,99,0.3568,0.7816,100.0,72293,0.338,69.66,True
M5,full_confluence,128,0.05,3,0.12,10,1.5,2.0,newyork,2,50.0,1.8065,1.07,0.84,1,1,99.9,58.6,57,38.6,1.1184,12.08,3.95,23,34,-0.6881,0.8742,100.0,22571,0.2442,87.92,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,2.0,newyork,2,50.0,1.8065,1.07,0.84,1,1,99.9,52.1,57,38.6,1.1184,12.08,3.95,23,34,-0.6881,0.8742,100.0,22571,0.2442,87.92,True
