tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M5,full_confluence,128,0.05,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,13,46.15,1.7143,3.0,4.97,5,8,1.7143,0.9023,100.0,24295,0.812,97.0,False
M5,fft_cycle_only,128,0.08,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,13,46.15,1.7143,3.0,4.97,5,8,1.7143,0.9023,100.0,24295,0.812,97.0,False
M5,full_confluence,128,0.08,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,13,46.15,1.7143,3.0,4.97,5,8,1.7143,0.9023,100.0,24295,0.812,97.0,False
M15,full_confluence,128,0.03,10,0.08,20,1.0,4.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,51,29.41,1.7143,8.65,26.69,23,28,1.7143,0.9471,98.97,5754,0.7672,90.32,True
M15,full_confluence,128,0.03,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,61.2,76,46.05,1.7073,7.81,32.45,36,40,0.374,0.9951,78.41,8277,0.7122,70.6,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,4.0,asian,14,14.29,0.6667,10.47,-4.13,6,8,99.9,52.1,81,29.63,1.6842,15.02,44.55,44,37,1.0175,1.0223,97.95,24504,0.6619,82.93,True
M15,full_confluence,128,0.05,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,55.8,75,45.33,1.6585,7.81,29.85,35,40,0.3252,0.9951,78.41,8277,0.6634,70.6,True
M15,full_confluence,128,0.08,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,49.2,75,45.33,1.6585,7.81,29.85,35,40,0.3252,0.9951,78.41,8277,0.6634,70.6,True
M15,full_confluence,128,0.05,10,0.08,20,1.0,2.0,asian,4,25.0,0.6667,2.97,-1.03,2,2,99.6,55.8,31,45.16,1.6471,4.0,11.22,14,17,0.9804,1.0119,76.51,6185,0.6352,72.51,True
M15,full_confluence,128,0.03,10,0.08,20,1.5,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,51,45.1,1.6429,5.88,19.01,23,28,1.6429,0.9533,96.11,5754,0.6896,90.23,True
M5,full_confluence,128,0.03,5,0.12,10,1.0,2.0,asian,4,50.0,2.0,1.0,1.97,2,2,99.9,62.6,60,45.0,1.6364,4.96,22.51,33,27,-0.3636,1.0293,76.42,24504,0.6071,71.46,True
M5,full_confluence,128,0.05,5,0.12,10,1.0,2.0,asian,4,50.0,2.0,1.0,1.97,2,2,99.9,58.6,60,45.0,1.6364,4.96,22.51,33,27,-0.3636,1.0293,76.42,24504,0.6071,71.46,True
M5,full_confluence,128,0.08,10,0.12,10,1.5,4.0,all,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,31,29.03,1.6364,10.47,14.1,12,19,1.6364,0.9607,100.0,72293,0.6757,89.53,True
M5,full_confluence,128,0.05,5,0.12,10,1.0,4.0,london,2,50.0,4.0,1.0,2.96,1,1,99.9,58.6,38,28.95,1.6296,9.65,17.36,15,23,-2.3704,0.9939,99.88,25604,0.6357,90.23,True
M5,full_confluence,128,0.08,5,0.12,10,1.0,4.0,london,2,50.0,4.0,1.0,2.96,1,1,99.9,52.1,38,28.95,1.6296,9.65,17.36,15,23,-2.3704,0.9939,99.88,25604,0.6357,90.23,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,4.0,london,2,50.0,4.0,1.0,2.96,1,1,99.9,58.6,38,28.95,1.6296,9.65,17.36,15,23,-2.3704,0.967,100.0,25604,0.6626,90.35,True
