tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,256,0.1,0.3,5,1.5,2.0,london,1110,33.24,0.9305,52.91,-47.76,5705,34.15,0.9609,89.55,-87.97,6815,3405,3410,9.814013206162876
M15,256,0.05,0.3,10,1.0,2.0,london,267,31.84,0.8426,38.84,-28.32,1336,34.96,0.9606,53.2,-39.61,1603,800,803,3.650031191515908
M15,64,0.1,0.3,10,1.5,3.0,asian,268,22.39,0.7912,42.25,-39.44,1544,26.1,0.9606,61.95,-51.27,1812,914,898,11.055629139072847
M15,128,0.1,0.3,10,1.0,3.0,london,261,22.99,0.8162,40.88,-35.15,1257,26.01,0.9604,65.61,-44.4,1518,767,751,6.2828063241106715
M15,128,0.05,0.2,10,1.5,3.0,london,236,27.54,1.0703,16.12,9.27,1123,25.38,0.96,60.81,-40.5,1359,690,669,15.634142752023546
M15,128,0.05,0.3,10,1.5,4.0,london,299,21.74,1.0486,30.7,5.82,1407,19.9,0.96,77.05,-52.52,1706,859,847,21.938159437280188
M15,256,0.1,0.2,10,1.0,2.0,london,199,31.66,0.8356,27.23,-22.81,981,34.96,0.9599,53.97,-31.28,1180,590,590,3.6325423728813564
M15,256,0.05,0.3,5,1.5,2.0,london,1069,33.12,0.9246,57.84,-48.82,5618,34.07,0.9577,90.33,-89.07,6687,3339,3348,9.727889935696126
M15,128,0.1,0.2,5,1.5,2.0,london,999,32.83,0.9139,57.65,-50.45,5092,34.05,0.9575,89.4,-86.64,6091,3059,3032,10.014808734197997
M15,256,0.05,0.3,5,1.5,4.0,london,1069,19.46,0.9247,69.04,-58.55,5618,20.04,0.9575,96.2,-95.51,6687,3339,3348,21.563944967848066
M15,128,0.05,0.2,5,1.5,3.0,london,996,24.7,0.9265,65.15,-51.48,5066,25.4,0.9573,93.55,-91.38,6062,3043,3019,15.71501154734411
M15,256,0.1,0.3,5,1.5,4.0,london,1110,19.19,0.909,73.44,-65.41,5705,20.04,0.9572,96.74,-95.78,6815,3405,3410,21.714013206162875
M15,128,0.05,0.2,5,1.5,4.0,london,996,20.28,0.9768,54.8,-32.29,5066,20.08,0.9566,96.14,-94.14,6062,3043,3019,21.531441768393268
M15,256,0.1,0.2,10,1.0,4.0,london,199,17.59,0.7837,39.83,-33.98,981,20.8,0.9563,55.17,-43.1,1180,590,590,8.732542372881356
M15,64,0.05,0.2,5,1.5,4.0,london,1125,19.73,0.9366,69.27,-55.74,5453,19.95,0.9563,97.57,-95.31,6578,3283,3295,21.456536941319545
M15,256,0.05,0.3,10,1.5,4.0,asian,218,21.56,1.0053,18.77,-3.5,1167,20.74,0.9562,73.41,-48.88,1385,685,700,12.842599277978339
M15,64,0.05,0.3,5,1.5,4.0,london,1256,19.75,0.9411,74.82,-57.77,6345,19.97,0.9559,98.57,-97.22,7601,3811,3790,21.514813840284173
