tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,64,0.05,0.2,10,1.0,2.0,asian,252,35.71,1.1111,11.76,16.66,1539,35.22,1.0873,44.57,103.98,1791,885,906,2.9
M15,128,0.1,0.3,10,1.5,4.0,asian,237,21.1,1.0695,26.54,8.5,1106,21.34,1.0863,44.46,68.6,1343,660,683,12.741176470588236
M15,256,0.05,0.3,5,1.5,4.0,asian,970,20.31,1.0207,38.56,-3.19,5076,21.32,1.0855,56.27,965.6,6046,3019,3027,13.64439298709891
M1,64,0.05,0.2,10,1.0,4.0,newyork,4435,21.31,1.0893,74.13,792.55,22435,21.21,1.0854,71.7,3219231.15,26870,13460,13410,9.46698920729438
M15,128,0.1,0.3,10,1.5,2.0,asian,237,33.33,1.0,14.56,-2.33,1106,35.17,1.0851,27.43,64.4,1343,660,683,5.882352941176471
M15,256,0.05,0.3,10,1.0,2.0,london,278,32.73,0.9733,18.27,-7.45,1311,35.16,1.0847,28.1,79.72,1589,793,796,11.21252359974827
M1,64,0.05,0.2,10,1.0,3.0,asian,5177,26.42,1.0777,47.23,771.25,25222,26.55,1.0845,61.06,12845847.9,30399,15218,15181,6.034060330931938
M15,256,0.05,0.3,10,1.0,3.0,asian,220,26.36,1.0741,24.48,9.01,1198,26.54,1.0841,35.97,74.26,1418,695,723,4.1
M15,256,0.05,0.2,10,1.0,3.0,london,246,23.17,0.9048,32.43,-19.32,1104,26.54,1.0838,39.07,66.51,1350,669,681,16.136000000000003
M15,256,0.1,0.2,10,1.0,3.0,newyork,164,23.78,0.936,16.45,-9.83,829,26.54,1.0837,22.4,46.56,993,507,486,14.500906344410875
M1,64,0.1,0.2,10,1.0,3.0,all,12569,26.22,1.067,62.66,7191.9,62641,26.51,1.0833,66.48,282760659631473.1,75210,37623,37587,6.8
M1,64,0.1,0.2,5,1.0,3.0,all,45149,26.24,1.0682,90.98,712341189.23,221979,26.49,1.0824,84.71,3.014908920224256e+45,267128,133513,133615,6.7338032703423085
M15,256,0.05,0.3,5,1.5,3.0,asian,970,24.95,0.9973,33.94,-15.08,5076,26.5,1.0821,52.33,876.58,6046,3019,3027,9.924611313264968
M1,64,0.05,0.2,5,1.0,3.0,all,45292,26.32,1.073,90.46,3609458535.03,222240,26.48,1.0819,84.38,1.6820385363444363e+45,267532,133729,133803,6.716929563566228
M1,64,0.1,0.3,5,1.0,3.0,all,51884,26.25,1.069,90.37,10363727891.88,254908,26.47,1.0813,89.96,1.1302683053668682e+51,306792,153385,153407,6.733823567759265
M15,256,0.1,0.2,5,1.0,4.0,london,905,18.12,0.8853,72.11,-63.76,4589,21.25,1.0812,53.77,630.55,5494,2750,2744,20.919967236985805
M1,64,0.1,0.3,10,1.0,3.0,all,14450,26.09,1.0597,75.58,6367.99,71654,26.46,1.0809,68.65,5113677447785405.0,86104,43061,43043,6.783217968967759
M1,64,0.05,0.3,5,1.0,3.0,all,51578,26.31,1.0723,86.85,30977399185.79,252645,26.46,1.0809,86.69,1.9550233907434183e+50,304223,152107,152116,6.7339080214184985
M1,64,0.1,0.2,10,1.0,3.0,asian,4535,26.53,1.0835,52.86,701.7,21445,26.48,1.0805,65.22,1198308.02,25980,13024,12956,5.952367205542725
M15,256,0.1,0.3,5,1.5,4.0,asian,1016,20.18,1.0123,45.91,-9.56,5154,21.23,1.0797,62.57,778.85,6170,3078,3092,13.630534846029175
M1,64,0.05,0.2,10,1.0,3.0,all,14586,26.39,1.0763,60.73,38345.5,73420,26.44,1.0797,66.6,6027946708218120.0,88006,44021,43985,6.783426130036588
M15,64,0.1,0.3,10,1.0,2.0,asian,254,29.92,0.8539,31.53,-24.72,1569,35.05,1.0795,35.87,91.58,1823,908,915,2.844267690619857
