tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,8,21,55,1.0,2.0,asian,4452,33.22,0.995,71.8,-44.65,21476,34.44,1.0506,73.05,14038.73,25928,12900,13028,3.7
M1,13,21,89,1.0,3.0,asian,3454,26.06,1.0572,59.15,154.56,16984,25.93,1.0502,78.06,4125.57,20438,10153,10285,5.583100107642626
M15,5,21,55,1.0,3.0,asian,377,25.99,1.0538,18.69,9.72,1929,25.92,1.0497,38.78,51.81,2306,1148,1158,3.983651344319167
M15,8,21,55,1.0,4.0,asian,318,21.07,1.0677,24.66,11.09,1665,20.78,1.0493,60.96,36.89,1983,979,1004,5.251891074130106
M15,8,34,55,1.0,3.0,asian,251,27.89,1.1602,18.6,28.4,1297,25.91,1.0489,41.89,31.44,1548,749,799,3.8
M5,8,34,55,1.5,2.0,asian,732,33.33,1.0,34.51,-7.01,3483,34.4,1.0486,47.27,113.51,4215,2045,2170,7.734733096085409
M5,8,21,89,1.0,4.0,asian,884,20.59,1.037,49.81,8.64,4232,20.77,1.0486,66.18,117.33,5116,2562,2554,6.6
M15,13,21,55,1.0,2.0,london,240,29.58,0.8402,38.86,-25.36,1205,34.36,1.0481,51.92,29.5,1445,714,731,9.450519031141868
M15,5,34,55,1.5,3.0,asian,303,28.38,1.1889,23.72,43.5,1545,25.89,1.048,46.25,37.15,1848,903,945,8.46396103896104
M15,5,34,89,1.0,3.0,london,261,26.44,1.0781,22.72,11.62,1329,25.88,1.0477,42.74,30.82,1590,764,826,13.464150943396227
M5,8,34,89,1.5,2.0,asian,690,33.91,1.0263,33.01,5.22,3366,34.37,1.0475,35.38,103.49,4056,2001,2055,7.685059171597633
M1,5,21,89,1.0,2.0,asian,4980,33.63,1.0136,74.12,-4.59,24103,34.37,1.0472,77.55,15175.7,29083,14469,14614,3.7
M1,5,34,89,1.0,3.0,asian,3946,25.16,1.0088,85.48,-27.87,19164,25.87,1.0472,83.83,4404.32,23110,11454,11656,5.565850281263522
M1,8,34,55,1.0,4.0,asian,3437,21.06,1.0675,76.74,209.33,16885,20.73,1.0471,86.04,1714.74,20322,10151,10171,7.3830872945576225
M15,13,21,55,1.0,4.0,asian,278,21.58,1.1009,26.66,17.62,1433,20.73,1.0458,49.51,26.03,1711,842,869,5.267504383401519
M5,13,34,89,1.5,2.0,asian,580,33.45,1.0052,28.88,-3.7,2863,34.33,1.0457,39.75,77.07,3443,1706,1737,7.901074644205634
M1,5,34,55,1.0,4.0,asian,4138,21.12,1.0714,70.3,341.35,20156,20.71,1.0456,84.73,2411.57,24294,12061,12233,7.465933975467193
M1,8,34,89,1.0,3.0,asian,3245,24.87,0.993,84.54,-47.73,15897,25.84,1.0456,87.06,1838.02,19142,9524,9618,5.583047748406645
M5,5,21,89,1.0,4.0,asian,1055,20.76,1.0478,60.8,20.59,5082,20.72,1.0454,69.82,124.03,6137,3100,3037,6.717190809841942
M1,13,34,89,1.0,3.0,london,3029,24.33,0.9659,84.25,-70.49,13766,25.82,1.0453,72.65,1165.39,16795,8385,8410,6.581964870497171
M1,13,34,89,1.0,4.0,london,3029,19.78,0.9909,81.27,-55.45,13766,20.64,1.0448,77.92,723.62,16795,8385,8410,8.927859481988687
M15,13,34,55,1.5,3.0,asian,222,28.38,1.1887,25.46,30.24,1115,25.83,1.0447,40.25,22.3,1337,649,688,9.283021690351532
M15,5,21,55,1.5,3.0,asian,377,25.99,1.0538,26.9,9.72,1929,25.82,1.044,53.55,40.25,2306,1148,1158,8.898091934084995
M15,8,21,55,1.0,2.0,asian,318,33.96,1.0286,15.32,2.85,1665,34.29,1.0439,38.4,36.65,1983,979,1004,2.5679273827534037
M15,13,21,55,1.5,4.0,asian,278,21.58,1.1009,31.53,17.62,1433,20.66,1.0432,49.86,22.41,1711,842,869,12.962478082992403
M15,8,34,55,1.0,4.0,asian,251,21.12,1.0707,26.75,9.28,1297,20.66,1.0418,50.31,18.45,1548,749,799,5.248643410852713
