tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,8,34,89,1.0,2.0,london,623,33.07,0.988,40.46,-10.56,3144,33.62,1.0134,62.19,-3.31,3767,1860,1907,7.150384921688346
M5,13,21,89,1.0,2.0,asian,734,35.56,1.1036,23.71,51.39,3513,33.62,1.0129,62.5,-4.92,4247,2091,2156,3.465434424299506
M5,5,21,89,1.0,2.0,london,1036,31.08,0.902,68.58,-55.04,4860,33.6,1.0124,65.93,-8.12,5896,2924,2972,7.294572591587517
M5,5,21,89,1.0,3.0,asian,1055,25.97,1.0525,56.09,28.38,5082,25.21,1.011,75.42,-28.57,6137,3100,3037,5.2
M5,8,21,89,1.5,4.0,asian,884,19.34,0.9593,53.42,-36.82,4232,20.16,1.0101,75.02,-39.03,5116,2562,2554,14.228303362001563
M5,13,21,89,1.0,3.0,asian,734,26.43,1.0778,28.31,35.96,3513,25.16,1.0087,75.18,-25.35,4247,2091,2156,5.082717212149753
M5,13,34,55,1.0,3.0,london,552,24.82,0.9904,37.5,-11.43,2816,25.14,1.0085,57.63,-21.21,3368,1670,1698,11.986935866983373
M5,5,34,89,1.0,2.0,london,748,34.63,1.0593,30.62,23.9,3756,33.49,1.0076,66.2,-16.81,4504,2243,2261,7.066785079928952
M5,13,34,89,1.0,3.0,london,515,23.69,0.9313,46.06,-29.08,2628,25.11,1.0066,60.06,-22.91,3143,1557,1586,12.605058860960867
M5,8,21,55,1.0,3.0,asian,933,25.08,1.0043,61.63,-10.28,4439,25.12,1.0063,78.77,-36.19,5372,2678,2694,5.117367833209233
M5,5,21,55,1.0,3.0,asian,1104,25.27,1.0145,67.5,-4.36,5291,25.1,1.0053,85.55,-43.75,6395,3210,3185,5.151790461297889
M5,13,21,89,1.5,2.0,asian,734,33.24,0.9959,28.07,-8.86,3513,33.45,1.0051,50.72,-20.51,4247,2091,2156,7.6
M5,13,34,89,1.5,2.0,london,515,31.46,0.9178,40.24,-28.8,2628,33.37,1.0029,35.99,-19.03,3143,1557,1586,20.42650334075724
M5,5,21,55,1.5,4.0,asian,1104,19.2,0.9507,70.15,-47.8,5291,20.03,1.0028,74.79,-60.1,6395,3210,3185,14.603580922595777
M5,5,21,89,1.5,3.0,asian,1055,25.12,1.0063,59.41,-10.12,5082,25.03,1.0016,71.48,-49.99,6137,3100,3037,11.117190809841942
M5,5,21,55,1.5,2.0,asian,1104,32.43,0.9598,59.94,-33.52,5291,33.34,1.0003,76.27,-40.29,6395,3210,3185,7.834526974198592
M5,13,34,55,1.0,2.0,london,552,33.33,1.0,31.9,-5.34,2816,33.31,0.9995,68.06,-25.14,3368,1670,1698,7.25249406175772
M5,5,21,55,1.0,2.0,london,1082,31.7,0.9283,63.97,-47.0,5161,33.29,0.9983,80.2,-43.58,6243,3108,3135,7.130674355277912
M5,13,34,55,1.0,4.0,london,552,19.38,0.9618,47.31,-24.1,2816,19.96,0.9982,60.69,-44.64,3368,1670,1698,17.288598574821854
M5,13,34,55,1.0,2.0,all,1673,33.35,1.0009,51.89,-14.47,8181,33.27,0.9974,86.66,-61.4,9854,4920,4934,5.332088491982951
M5,13,21,89,1.0,4.0,all,2018,19.82,0.9895,67.94,-43.06,9674,19.95,0.9973,96.84,-87.8,11692,5856,5836,11.2
M5,5,21,89,1.5,4.0,asian,1055,19.72,0.9823,64.12,-29.86,5082,19.93,0.9963,88.86,-68.15,6137,3100,3037,14.406289718103308
M5,8,21,89,1.0,2.0,london,846,32.27,0.9529,47.58,-29.72,4035,33.23,0.9959,74.66,-39.96,4881,2413,2468,7.048002458512601
M5,8,21,89,1.0,3.0,london,846,24.35,0.9656,59.49,-29.04,4035,24.91,0.9957,69.71,-51.61,4881,2413,2468,11.774677320221265
M5,5,21,89,1.0,3.0,london,1036,23.36,0.9144,73.87,-56.25,4860,24.88,0.994,74.83,-60.82,5896,2924,2972,12.083717774762551
M5,13,34,89,1.0,2.0,all,1557,32.18,0.9489,59.43,-49.94,7631,33.19,0.9939,88.15,-65.58,9188,4612,4576,5.383053983456683
M5,13,34,55,1.0,4.0,all,1673,19.55,0.9718,70.17,-50.47,8181,19.89,0.9933,92.66,-86.97,9854,4920,4934,11.264176983965903
M5,5,21,55,1.5,3.0,asian,1104,24.64,0.9808,64.78,-27.52,5291,24.87,0.9932,76.91,-65.03,6395,3210,3185,11.082736512900704
M5,8,21,89,1.5,2.0,asian,884,33.48,1.0068,33.24,-4.69,4232,33.15,0.9919,69.22,-47.76,5116,2562,2554,7.582720875684128
M5,8,21,89,1.0,4.0,london,846,19.15,0.9474,65.4,-40.59,4035,19.85,0.9913,74.73,-65.59,4881,2413,2468,16.866687154271666
M5,8,21,89,1.5,2.0,london,846,32.39,0.958,43.19,-27.59,4035,33.11,0.9907,64.19,-47.77,4881,2413,2468,19.253349723417333
M5,8,34,55,1.0,2.0,london,660,33.79,1.0206,42.36,2.43,3334,33.11,0.9906,73.7,-41.73,3994,1977,2017,7.0504256384576856
M5,8,34,55,1.0,3.0,london,660,25.0,1.0,42.91,-9.31,3334,24.81,0.9904,73.31,-51.86,3994,1977,2017,11.85127691537306
M5,5,34,55,1.0,3.0,london,784,26.02,1.0552,43.85,22.24,3944,24.8,0.9899,82.02,-58.55,4728,2345,2383,11.967343485617599
M5,13,34,89,1.0,3.0,all,1557,24.08,0.9518,63.47,-54.84,7631,24.81,0.9899,91.21,-81.8,9188,4612,4576,8.415269917283414
M5,13,34,55,1.5,3.0,all,1673,24.15,0.9558,70.69,-55.16,8181,24.78,0.9894,90.61,-84.33,9854,4920,4934,19.513243352953115
M5,5,21,89,1.0,4.0,london,1036,18.05,0.881,82.31,-69.83,4860,19.81,0.9892,76.75,-74.5,5896,2924,2972,17.190434192673
M5,13,34,55,1.5,4.0,all,1673,19.9,0.9955,54.21,-32.08,8181,19.77,0.9887,95.5,-90.26,9854,4920,4934,24.796265475948854
M5,13,21,55,1.0,3.0,london,729,24.69,0.9836,52.3,-17.89,3662,24.77,0.9884,72.58,-57.63,4391,2202,2189,12.049419266681848
M5,5,34,89,1.0,3.0,london,748,25.27,1.0143,48.4,-3.1,3756,24.73,0.9862,75.62,-61.02,4504,2243,2261,12.484103019538187
M5,5,21,89,1.5,2.0,asian,1055,33.65,1.0143,44.94,-0.53,5082,33.02,0.9859,75.81,-62.56,6137,3100,3037,7.734381619683885
M5,8,34,55,1.0,4.0,all,1975,19.49,0.9692,72.85,-58.11,9666,19.76,0.9854,97.01,-95.06,11641,5825,5816,11.132136414397388
M5,13,34,89,1.5,2.0,all,1557,32.18,0.9489,60.39,-49.94,7631,33.0,0.9853,80.7,-77.78,9188,4612,4576,13.298323900740098
